HD,constellation,Star,ColorIndex,Distance,AbsMag
31647,Auriga,,0.037,48.7804878049,1.4887693053
31845,Taurus,,0.45,43.3087916847,3.5671196646
31925,Lepus,,0.447,43.1592576608,2.4746301689
32301,Taurus,,0.155,49.9750124938,1.1262354432
32537,Auriga,,0.343,26.2191924489,2.8869034435
32743,Pictor,,0.421,26.1848651479,3.2797482919
32923,Taurus,,0.657,15.8679784195,3.9073919942
33021,Orion,,0.625,28.2965478212,3.8913327259
33093,Lepus,,0.606,36.231884058,3.1745454103
33111,Eridanus,Cursa,0.161,27.2405339145,0.6039219225
33167,Auriga,,0.452,46.2107208872,2.3462862822
33256,Eridanus,,0.455,25.0062515629,3.1197570207
33262,Dorado,,0.526,11.6509379005,4.3781955626
33564,Camelopardalis,,0.506,20.9819555183,3.4707701901
33608,Orion,,0.462,38.4024577573,2.9682048995
33641,Auriga,,0.189,49.8007968127,1.3338185424
34029,Auriga,Capella,0.795,12.9382843835,-0.4793834635
34411,Auriga,,0.63,12.6454223571,4.1803333032
34538,Lepus,,0.932,48.3325277912,2.0588024533
34642,Columba,,0.987,33.7495781303,2.1686582574
34721,Lepus,,0.572,24.931438544,3.9762633099
34721,Lepus,,0.572,24.931438544,3.9762633099
34721,Carina,,0.572,24.931438544,3.9762633099
34721,Carina,,0.572,24.931438544,3.9762633099
35072,Pictor,,0.517,36.1010830325,2.6523988453
35296,Taurus,,0.544,14.6649068778,4.1686034522
35497,Taurus,Elnath,-0.13,40.1767778224,-1.369875517
35736,Lepus,,0.441,43.0292598967,2.6111806186
36066,Camelopardalis,,0.587,43.8788942519,3.2287216259
36079,Lepus,Nihal,0.807,48.8042947779,-0.632290208
36553,Pictor,,0.615,43.72540446,2.256330823
37160,Orion,,0.951,35.5871886121,1.3335315995
37430,Columba,,0.322,44.5632798574,2.9051142629
37495,Columba,,0.486,42.4808836024,2.1390322925
37507,Orion,,0.139,47.0809792844,1.405772562
37594,Orion,,0.294,41.3907284768,2.9054846497
37763,Mensa,,1.13,30.8356460068,2.7347347434
38392,Lepus,,0.94,8.9694142972,6.3661795773
38393,Lepus,,0.481,8.9694142972,3.8261795773
38529,Orion,,0.773,42.4268137463,2.8117979126
38678,Lepus,,0.104,21.5192597375,1.8858633624
38858,Orion,,0.639,15.5642023346,5.00936566
39014,Dorado,,0.217,44.4839857651,1.0989815345
39060,Pictor,,0.171,19.2789666474,2.42458124
39091,Mensa,,0.6,18.2083029862,4.3486526428
39364,Lepus,,0.984,34.4234079174,1.0757306836
39425,Columba,Wazn,1.146,26.3574064312,1.0154866328
39587,Orion,,0.594,8.6632591181,4.7015934783
40035,Auriga,,1.01,43.0663221361,0.549311077
40136,Lepus,,0.337,15.0443809237,2.8231283939
40183,Auriga,Menkalinan,0.077,25.1762336354,-0.1049538009
40292,Pictor,,0.295,34.9040139616,2.5756231315
40409,Dorado,,1.022,27.2702481593,2.4715545498
40932,Orion,,0.17,46.533271289,0.7811820775
41116,Gemini,,0.835,46.2107208872,0.8362862822
41742,Puppis,,0.493,27.0197243988,3.7715954255
43042,Orion,,0.43,21.1282484682,3.5756825223
43318,Orion,,0.506,35.6887937188,2.8573406547
43378,Lynx,UZ Lyn,0.032,45.7038391225,1.1402365883
43386,Orion,,0.431,19.6078431373,3.5778508805
43587,Orion,,0.61,19.3199381762,4.2699713383
43834,Mensa,,0.714,10.1481631825,5.0480627897
43834,Mensa,,0.714,10.1481631825,5.0480627897
43834,Puppis,,0.714,10.1481631825,5.0480627897
43834,Puppis,,0.714,10.1481631825,5.0480627897
44769,Monoceros,,0.215,39.3855848759,1.4133135044
44770,Monoceros,,0.45,24.3368216111,4.7886807063
45067,Monoceros,,0.564,33.0906684315,3.2814723
46304,Monoceros,,0.256,43.233895374,2.4208781639
46569,Carina,,0.534,37.2162262747,2.7263383322
46588,Camelopardalis,,0.525,17.850767583,4.1817155224
47105,Gemini,Alhena,0.001,32.1336760925,-0.6048020584
47205,CanisMajor,,1.037,19.8373338623,2.4625834872
48097,Gemini,,0.063,42.7167876976,2.0470070685
48682,Auriga,,0.575,16.5125495376,4.1509293325
48737,Gemini,,0.443,17.537706068,2.1301360649
48915,CanisMajor,Sirius,0.009,2.6370612589,1.4543989071
49095,CanisMajor,,0.491,24.2718446602,3.9944860802
