"HD","Star"
"56855",""
"56963",""
"56986","Wasat"
"56989",""
"57006",""
"57060","UW CMa"
"57061",""
"57066",""
"57102",""
"57103",""
"57146",""
"57150","NV Pup"
"57167","R CMa"
"57197",""
"57219","NW Pup"
"57240",""
"57264",""
"57423",""
"57478",""
"57593","HQ CMa"
"57608",""
"57615",""
"57623",""
"57646",""
"57669",""
"57727",""
"57744",""
"57749",""
"57821",""
"57888",""
"57917",""
"57927",""
"58050","OT Gem"
"58142",""
"58155",""
"58187",""
"58207",""
"58215",""
"58286",""
"58343","FW CMa"
"58350","Aludra"
"58367",""
"58425",""
"58461",""
"58526",""
"58535",""
"58579",""
"58612",""
"58661",""
"58715","Gomeisa"
"58728",""
"58855",""
"58923",""
"58946",""
"58954",""
"58972",""
"58978","FY CMa"
"59026",""
"59037",""
"59067",""
"59136",""
"59148",""
"59219",""
"59256",""
"59294",""
"59311",""
"59380",""
"59381",""
"59550",""
"59612",""
"59635",""
"59686",""
"59693",""
"59717",""
"59881",""
"59890",""
"59984",""
"60060",""
"60107",""
"60111",""
"60168","PS Pup"
"60178",""
"60179","Castor"
"60228",""
"60294",""
"60318",""
"60341",""
"60345",""
"60357",""
"60414","KQ Pup"
"60437",""
"60522",""
"60532",""
"60584",""
"60585",""
"60606","OW Pup"
"60652",""
"60666",""
"60803",""
"60816",""
"60855",""
"60863",""
"60986",""
"61064",""
"61068","PT Pup"
"61106",""
"61110",""
"61248",""
"61294",""
"61330",""
"61338",""
"61363",""
"61391",""
"61421","Procyon"
"61429","PU Pup"
"61497",""
"61555",""
"61556",""
"61603",""
"61641",""
"61715","MY Pup"
"61772",""
"61774",""
"61831",""
"61878",""
"61885",""
"61887",""
"61899",""
"61913","NZ Gem"
"61925",""
"61931",""
"61935",""
"61966","V390 Car"
"62044",""
"62058","R Pup"
"62066",""
"62140","BC Cam"
"62226",""
"62285",""
"62345",""
"62412",""
"62437","AZ CMi"
"62509","Pollux"
"62510",""
"62576",""
"62578",""
"62623",""
"62644",""
"62647",""
"62713",""
"62721",""
"62747",""
"62781",""
"62832",""
"62863","PV Pup"
"62864",""
"62893",""
"62898",""
"62902",""
"62952",""
"63032",""
"63077",""
"63208",""
"63215",""
"63271",""
"63295",""
"63302","QY Pup"
"63336",""
"63401","OX Pup"
"63462",""
"63465",""
"63578",""
"63640","T Pup"
"63660",""
"63697",""
"63697",""
"63700",""
"63744",""
"63752",""
"63786",""
"63852",""
"63922",""
"63949","QS Pup"
"63975",""
"64052","BC CMi"
"64067",""
"64077",""
"64096",""
"64106",""
"64144",""
"64145",""
"64152",""
"64185",""
"64225",""
"64235",""
"64238",""
"64307",""
"64365","QU Pup"
"64379",""
"64440",""
"64484",""
"64486",""
"64503","QZ Pup"
"64572",""
"64648",""
"64685",""
"64722","V372 Car"
"64740",""
"64760",""
"64802",""
"64960",""
"65183","PX Pup"
"65228",""
"65273",""
"65301",""
"65339","AX Cam"
"65345",""
"65456",""
"65460",""
